industry,website,title,description,logo
Technology and Electronics,altair.com,Altair,"Altair is a global technology company providing software and cloud solutions in the areas of product development, high-performance computing (HPC) and artificial intelligence (AI). Altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. With more than 3,000 engineers, scientists, and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities. Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing and artificial intelligence (AI).",https://media.licdn.com/dms/image/C4E0BAQEX0LIP5oahnQ/company-logo_100_100/0/1587994967762/altair_engineering_logo?e=2147483647&v=beta&t=4WygnDQjfRGnaGopOqTcKTxCBj95c0C1UV_5YQo0Hes
Automotive,honda.com,"American Honda Motor Company, Inc.","Honda Motor Co., Ltd. engages in the manufacture and sale of automobiles, motorcycles, and power products. It operates through the following segments: Automobile, Motorcycle, Financial Services, and Power Product and Other Businesses. The Automobile segment manufactures and sells automobiles and related accessories. The Motorcycle segment handles all-terrain vehicles, motorcycle business, and related parts. The Financial Services segment provides financial and insurance services. The Power Product and Other Businesses segment offers power products and relevant parts. The company was founded by Soichiro Honda on September 24, 1948 and is headquartered in Tokyo, Japan.",https://media.licdn.com/dms/image/C4E0BAQHNId7SexC_OQ/company-logo_100_100/0/1519855863129?e=2147483647&v=beta&t=E4F_BrUOSQuviw8XB9p-HLpqKPjlgx_fIaqzNyeryJ0
Entertainment and Media,asmglobal.com,ASM Global,"As the world's leading venue management company and producer of live event experiences, ASM Global is the preeminent management and content partner with over 350 venues worldwide. Operating and investing in the world's most important stadiums, arenas, convention centers, and theaters requires unmatched dedication and the most profound expertise. No one else offers the benefits of global scale and best-in-class local operational execution to create value and drive profitability.",https://media.licdn.com/dms/image/D560BAQEjl0Wpi5U7yQ/company-logo_100_100/0/1665682240517?e=2147483647&v=beta&t=LfiY9AxMdwoK4SwcdD0fBNI-hCF-52hx9yhhCRJvmwI
Fashion and Beauty,chubbiesshorts.com,Chubbies Shorts,"Here at Chubbies, we believe in the weekend. We believe short shorts is a redundancy. But most importantly, we believe in our amazing and diverse employees. Without them, we couldn’t do a fraction of the things we have set out to do. We define ourselves by our fearless pursuit of fun and doing our part to make the world a better place. As an intern at Chubbies, you will have the opportunity to make the world a better place, one design at a time.",https://media.licdn.com/dms/image/D560BAQESCZCPUuqfPg/company-logo_100_100/0/1692367300795?e=2147483647&v=beta&t=QKX80VkMiHfyIpyyYrFya8Rv4R4Z2nok2nrDPIhSpm4
Design,cid-designgroup.com,CID Design Group,"CID Design Group is a creative design firm specializing in multifamily + hospitality interior design, branding, and design forecasting. Their work spans 39 states and over 60 cities and is grateful to design for 6 of the top 10 largest multifamily developers in the US. CID Design Group focuses on bringing a story to life through design that's bespoke and memorable, resulting in authentic and unique environments and experiences.",https://media.licdn.com/dms/image/C4E0BAQHe_lj_XTH5gw/company-logo_100_100/0/1521740637500?e=2147483647&v=beta&t=N6ZqYf-MJTnbq0RYpOwO5FlpiqVmGIW3S4jqgm4wGg4
Consulting,crbgroup.com,CRB,"CRB is a leading provider of sustainable engineering, architecture, construction and consulting solutions to the global life sciences and food and beverage industries. Our more than 1,600 employees provide best-in-class solutions that drive success and positive change for our clients, our people and our communities. CRB is a privately held company with a rich history of serving clients throughout the world, consistently striving for the highest standard of technical knowledge, creativity and execution.",https://media.licdn.com/dms/image/C560BAQHMCtkTw98Ksw/company-logo_100_100/0/1581610514736/crb_consulting_engineers_logo?e=2147483647&v=beta&t=nuzBvE-MLu81lJmLDsnq0iwYIPevsikSy3MmUkoI8QM
Architecture and Engineering,cushingterrell.com,Cushing Terrell,"Cushing Terrell was founded in 1938 by architects Ralph Cushing and Everett Terrell. Ralph and Everett acted on the belief that integrating architecture, engineering, and design opened the doors for deepened relationships and enhanced creativity: that belief was the beginning of our design practice and still defines us today.",https://media.licdn.com/dms/image/C560BAQHUIB2ibeiwRw/company-logo_100_100/0/1579292961666/cushing_terrell_logo?e=2147483647&v=beta&t=Q-7AkyrWdrFDIF8zrsnmcGvE6zvVbh14nxXKNMyMKzU
Entertainment and Media,daybreaker.com,DAYBREAKER,"DAYBREAKER is a morning movement that will start your day off unlike anything else. It is about being in the here and now, surrounded by amazing people, beautiful music, and an incredible vibe. It is about dancing your face off before work and feeling gloriously healthy while doing so. It is about love, it is about mindfulness, and it is about mischief.",https://media.licdn.com/dms/image/C4E0BAQG843oZsmHaLg/company-logo_100_100/0/1617725098672/daybreaker_logo?e=2147483647&v=beta&t=DOFejk9zqc36aGu3-Xt667-9sRlydTwgl3fR0vscE48
Information and Journalism,deeplocal.com,Deeplocal,"Deeplocal creates and builds experiences that help brands tell their stories and connect with their audiences in new, unexpected ways. We work in both digital and physical disciplines, though our projects find all kinds of ways to dissolve the boundaries between the two. Everything we do is rooted in culture and faithful to strategic insights about our audience. We want to get them talking about something amazing they’ve experienced—not about an advertising campaign.",https://media.licdn.com/dms/image/C4E0BAQF5AfjVfY4hWA/company-logo_100_100/0/1558100992997/deeplocal_logo?e=2147483647&v=beta&t=VqXpsCjGcNBS_ZeF1HgUozQGwUwVAtDRkCfO-sLr-hc
Environmental Sustainability,glumac.com,Glumac,"Glumac, A Tetra Tech Company, is a leader in Sustainable Design. Our mission is to engineer and commission “green buildings that work.""",https://media.licdn.com/dms/image/D560BAQFiBhwzE_bSeg/company-logo_100_100/0/1690482173562/glumac_logo?e=2147483647&v=beta&t=EBdz8936APNnJj7lDIP6P7jOB0xnm9Wc98dhcYN0Q5o
Sales and Marketing,golin.com,Golin,"Golin is a progressive public relations agency with expertise ranging from brand-building and cutting- edge digital content, to corporate reputation, healthcare advocacy and measurement. Golin aligns earned-first, data-driven creative with the customer journey, to deliver maximum impact for clients and reach a profoundly diverse global market. “Go All In” is the agency’s ethos and commitment to bravery over mediocrity.",https://media.licdn.com/dms/image/C4E0BAQHmoOKejpGKjw/company-logo_100_100/0/1624549078949?e=2147483647&v=beta&t=Bi0CbEYNDBHAf4Gqz2fS4oW3TqvdYyhoW5AxBbn_Aqo
Consulting,gray.com,Gray,"Gray is a family-owned, fully integrated global service provider specializing in engineering, design, construction, digital, equipment manufacturing, and real estate services. Deeply rooted in EAC services, Gray serves both domestic and international customers across our core markets: Food & Beverage , Manufacturing , Automotive , Distribution , Mission Critical , and Commercial . At Gray, our purpose is to make a positive difference in people's lives and build a better future. Gray AE, the design arm of Gray, is a top-ranked firm offering architecture and engineering services across the globe. Made up of multidisciplinary teams of architects, engineers, and project managers, these collaborative teams work every day to provide unique, customized solutions for our customers.",https://media.licdn.com/dms/image/D560BAQHeQEIdcM7MBQ/company-logo_100_100/0/1695134857576?e=2147483647&v=beta&t=JnGJ7oHrzdOuDB9G-5cx3MMj_X2J2wTwAzU5C73YcFA
Manufacturing,harriscompany.com,Harris,"Harris is a leading national mechanical contractor specializing in design and engineering, construction, controls, service, manufacturing, conveyors and end-to-end building systems. Customers who partner with Harris benefit from our national reach, regional offices, local expertise and more than 70 years of experience. From stadiums to manufacturing facilities, power plant to hospitals, concert halls to classrooms, Harris handles projects of all sizes and scope across the country.",https://media.licdn.com/dms/image/C560BAQGsa8GyoLdVZQ/company-logo_100_100/0/1565379936250/harriscompany_logo?e=2147483647&v=beta&t=AK9Pg3zOE-D0XyI35mXvxg5BBCFavBek956Zo6-Oxsw
Real Estate,intrinsicdevelopment.com,Intrinsic Development,"Intrinsic Development is a full service real estate development company that specializes in upscale multi-family and commercial mixed-use developments. Our organization has built more than 3.5 million square feet of projects, with an additional 300,000 square feet currently under construction. The Intrinsic Development team has successfully developed everything from hospitality venues, to mixed-use, multi-family, hotels, clinics, offices and restaurants across 6 Midwestern states. We are excited to expand into Lee's Summit, Missouri which will be the new home for our corporate office. This expansion coincides with the launch of our new 260+ acre mixed-use development, which will feature approximately 2,900 luxury multi-family units, as well as over 660,000 square feet of retail, office, entertainment, hospitality space, and other related commercial uses.",https://media.licdn.com/dms/image/C560BAQHgIM9n9PaMVw/company-logo_100_100/0/1669065788366?e=2147483647&v=beta&t=HzRm4cVnf2p6dlkAtVB3RltzkFo1yO_IotKHASXHLBg
Technology and Electronics,itential.com,Itential,"Itential is on a mission to transform how network infrastructure is managed through simplifying and accelerating the adoption of automation. Our powerful network automation software fuels some of the largest organizations in the world and we are committed to continuously delivering world-class products that accelerate the move toward software-driven networks and next generation, agile network operations. ",https://media.licdn.com/dms/image/C4D0BAQFHwk9TZP57jg/company-logo_100_100/0/1607626325939/itential_logo?e=2147483647&v=beta&t=RsjZiEhS7libHUuj-ZSPRiMJKje6a8oXx3dZPF2eN3k
Consulting,jwincorporated.com,"J.A. Watts, Inc.","J.A. Watts, Inc. (JWI) is a woman-owned, certified DBE providing exceptional owner’s representation, construction management, project management, and general contracting for public and private owners since 1999.  Known for our unmistakable culture of treating clients and employees like family, we’ve built our reputation by developing long-term relationships and providing an energetic, diverse and inclusive workplace. ",https://media.licdn.com/dms/image/C4D0BAQG1IM2qFmXrjQ/company-logo_100_100/0/1578422838152/j_a_watts_inc__logo?e=2147483647&v=beta&t=OEZpsRNeLyj2V0gGsNn0xjkXU6y-aEDZVDpUZJc3Ydc
Architecture and Engineering,kahlerslater.com,Kahler Slater,"Kahler Slater designs to enrich life and achieve powerful results. Through architecture, interior design, strategic advisory, and environmental branding, Kahler Slater solves their clients' most pressing challenges, advances strategic goals, and accelerates progress. They offer expertise in civic and cultural, healthcare, higher education, corporate workplace, residential, hospitality, and sports, recreation, and wellness sectors.",https://media.licdn.com/dms/image/C560BAQE0LhlhRsJl9w/company-logo_100_100/0/1519856988132?e=2147483647&v=beta&t=V3lbKfhsZcBpKA7GDkotNwYpFdktC16aUsBVDFuYMHo
Entertainment and Media,likemind.com,Likemind,"Optimism is a digital publisher working to build a brighter web. We conceive, launch, and operate high-quality digital brands that spark curiosity, spread positivity, and improve the lives of our readers. With an email-first approach, our hope is to transform the inbox into a healthy alternative to social media feeds, a place where you can curate the news, information, and entertainment you truly want. Our brands populate a variety of categories: Games, Wonder, and Travel, among others. This distributed approach helps us reach 3 million subscribers across our network and serve more than 30 million web sessions each month. And we’re growing with each new brand.",https://media.licdn.com/dms/image/C4E0BAQHupg6PlXgS3Q/company-logo_100_100-alternative/0/1629752477144/inboxlab_logo?e=2147483647&v=beta&t=UyLfn6GGyGj7LWH2MV0DhKh7Qmzf_H4N8C4-53vK_Zs
Sports,littleleague.org,Little League International,"Located in South Williamsport, Pennsylvania, we are the administrative and operational headquarters for Little League Baseball and Softball, the leading nonprofit youth sports organization with 80+ years of history supporting youth baseball and softball. Little League® is played in approximately 6,500 communities across more than 80 countries worldwide. We believe in the power of youth baseball and softball to teach life lessons that build stronger individuals and communities.",https://media.licdn.com/dms/image/D4E0BAQE3sV9DuT5RVg/company-logo_100_100/0/1689255503452/little_league_international_logo?e=2147483647&v=beta&t=ciVnMZG7amqRMTMlISgzDpIZpf6W_j6ahThJBTBexg4
Fashion and Beauty,loveshackfancy.com,LoveShackFancy,"LoveShackFancy began in 2013 with a beach-to-ballroom hand-dyed halter dress that founder and creative director Rebecca Hessel Cohen made for her bridal party. Over time, that one article of clothing, created to celebrate love, has turned into a world filled with all things romantic, dreamy and drenched in optimism — from clothing to tabletop, bedding, swim, ski, travel accessories, shoes and more.",https://media.licdn.com/dms/image/C560BAQHOAJcJUKJrJw/company-logo_100_100/0/1630065874820?e=2147483647&v=beta&t=SbGVdnXCeWBkK7z8RREHhIjtNOV35QIKbl6dbphjB5s
Entertainment and Media,matteprojects.com,MATTE Projects,"MATTE is a collective studio at the convergence of hype, storytelling, and design. We bring people together to inspire new ways of engaging to provide long term progress, and to entertain audiences around the world, while helping forward-thinking brands and institutions nimbly and truly do the same.",https://media.licdn.com/dms/image/D4E0BAQGmyYR5A2lFwg/company-logo_100_100/0/1694551569976/matte_projects_logo?e=2147483647&v=beta&t=ASQbAfKWVmmzStO0EJY6daTWWLSg4etewWMN6l8ZeaM
Manufacturing,oatey.com,Oatey Company,"Since 1916, Oatey has provided reliable, high-quality products for the residential and commercial plumbing industries, with a commitment to delivering quality, building trust and improving lives. Today, Oatey operates a comprehensive manufacturing and distribution network to supply thousands of products for professional builders, contractors, engineers and do-it-yourself consumers around the world.",https://media.licdn.com/dms/image/C4E0BAQHEvE_EKTD8tA/company-logo_100_100/0/1565295894586/oatey_company_logo?e=2147483647&v=beta&t=0Uk2Ot0mh8fePyO0911skBsKmeh07HmfiDTyIkmS8R8
Public Sector,octa.net,Orange County Transportation Authority,The Orange County Transportation Authority (OCTA) is Orange County’s primary transportation agency. OCTA was formed in 1991 through the consolidation of seven separate transportation agencies. A 17-member Board of Directors governs OCTA with the Caltrans District Director serving as the 18th member in an ex-officio capacity.,https://media.licdn.com/dms/image/C4D0BAQHRqSxAYSQ2Xg/company-logo_100_100/0/1519856278349?e=2147483647&v=beta&t=ZaNM0yV3iAWmhdK8C2i1F56Ev_KcygYgtAhDgLSfgZU
Architecture and Engineering,pondco.com,Pond & Company,"Pond is an award-winning, full-service architecture, engineering, planning, construction management, and environmental services firm providing professional solutions to clients throughout the U.S. and globally for nearly 60 years. Pond’s staff of 600+ professionals provide a deep bench strength of experience and capabilities to offer customized solutions that help clients manage projects from concept to completion – and everything in between – with confidence and clarity. Pond is currently ranked as the 80th largest engineering and design firm by ENR, Atlanta’s #1 engineering firm by Atlanta Business Chronicle, and has been recognized as an Employer of the Year by Georgia ACEC and a Best Place to Work for Working Parents.",https://media.licdn.com/dms/image/D4E0BAQEvO7KDuj3gDA/company-logo_100_100/0/1690384282821/pond__company_logo?e=2147483647&v=beta&t=Wumy22aqrlhgucg39vsm2FUsEJW4AInBNeoMHGcr3BI
Sales and Marketing,pch.com,Publishers Clearing House,"Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC and Portland, ME, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.",https://media.licdn.com/dms/image/C4D0BAQFcHydUKcAdbQ/company-logo_100_100/0/1582662120122/publishers_clearing_house_logo?e=2147483647&v=beta&t=Z2C9UrJnnWkl9xZnoNli5q6REcV1-xQuBQQOUM8C6hc
Entertainment and Media,ea.com/ea-studios/ripple-effect,Ripple Effect Studios,"We are Ripple Effect Studios, a game development studio, based in Los Angeles, California, working with DICE, located in Stockholm, Sweden, on Battlefield 2042 as well as an unannounced project. At Ripple Effect, we believe that a small idea can change the world. Like a ripple through water, one small action or idea can have a resonating effect that drives big change. The studio is driven by the notion of making big shifts in the industry through small, constant impacts that will change how the industry approaches game development, live service, studio life and community engagement. ",https://media.licdn.com/dms/image/C4D0BAQFUCWxqANJjBw/company-logo_100_100/0/1625786379125?e=2147483647&v=beta&t=pUGusW3TxH-o6IN__L_lv9c175E2X3QXQtJ6lukU4NA
Sales and Marketing,slicecommunications.com,Slice Communications,"At our core, Slice Communications exists to get people to pay attention. As a leading marketing and communications company, it is who we are as people, what gets us up in the morning, and what keeps us going. Since our founding in 2008, we have been working in the attention business and have helped our clients strategically grow and achieve their business goals. For the past 15 years, Slice’s team of social media, public relations, content, and email marketing experts have moved clients’ target audiences from aware to advocates through our proprietary 5 Types of Attention model. Our strategic focus on attention is what helps our clients achieve and surpass their business goals time after time.",https://media.licdn.com/dms/image/D4E0BAQE8fMm5xyVGpA/company-logo_100_100/0/1688052619526?e=2147483647&v=beta&t=CN0cU8h_u-lTc2QndtrjH1MnO1-Ol0Ybf8DXmpvFEcM
Entertainment and Media,sonyinteractive.com/en/,Sony Interactive Entertainment,"Sony Interactive Entertainment pushes the boundaries of entertainment and innovation, starting from the launch of the original PlayStation in Japan in 1994. Today, we continue to deliver innovative and thrilling experiences to a global audience through our PlayStation line of products and services that include generation-defining hardware, pioneering network services, and award-winning games.",https://media.licdn.com/dms/image/C4D0BAQFJO00VqEb3Vg/company-logo_100_100/0/1616449168003?e=2147483647&v=beta&t=eMDrK1LSccr76wMZZvPXF4f-Uggu72zy9LU3nQND4FY
Automotive,tesla.com,Tesla,"Our mission is to accelerate the world’s transition to sustainable energy. With global temperatures rising, the faster we free ourselves from fossil fuel reliance and achieve a zero-emission future, the better. In pursuit of this mission, we make electric vehicles that are not just great EVs, but the best cars, period.",https://media.licdn.com/dms/image/C4D0BAQHUcu98SZ2TVw/company-logo_100_100/0/1607665771371/tesla_motors_logo?e=2147483647&v=beta&t=V73MbQoy04Bg6vfpdRDrY9CY_5z0AiWX5YzxY50n4ek
Food and Beverage,therestaurantstore.com,The Restaurant Store,"The Restaurant Store is a one-stop-shop for food service equipment and restaurant supplies! We aim to support the trusted, traditional brick and mortar stores while at the same time streamlining purchasing through our website.",https://media.licdn.com/dms/image/D4E0BAQGJhhlCvgs-aA/company-logo_100_100/0/1684429222340?e=2147483647&v=beta&t=dpl4Mq_890gjbhInIkM7R5vTnV5ixzcQgzO-CNr2aBc
Fashion and Beauty,vineyardvines.com,vineyard vines,"vineyard vines is a highly successful, privately held, American clothing and accessory retailer founded in 1998 on Martha’s Vineyard by brothers, Shep & Ian Murray. With Shep & Ian still at the helm today, vineyard vines has experienced exponential year over year growth and now operates over 100 retail locations including an outlet division, a successful e-commerce business, domestic distribution center, and expanding corporate headquarters.",https://media.licdn.com/dms/image/C4D0BAQF2QT4nVA-ARQ/company-logo_100_100/0/1542399931599/vineyard_vines_logo?e=2147483647&v=beta&t=ETRmPr5WvOsH2bwqH5rN6PSH8I1R2W6EGycra8HexbQ
Automotive,volvogroup.com,Volvo Group,"The Volvo Group is one of the world’s leading manufacturers of trucks, buses, construction equipment and marine and industrial engines. The Group also provides complete solutions for financing and service.",https://media.licdn.com/dms/image/C4D0BAQF6VxeKGI-lyg/company-logo_100_100/0/1632477689832/volvo_group_logo?e=2147483647&v=beta&t=TcucWSz3Ksw65n0b8xf3HSDSsL39KaP_in1MEETbGpI
Consumer Goods,wawa.com,"Wawa, Inc.","Voted as “America’s Favorite Convenience Store”, Wawa operates a chain of more than 1000 convenience retail stores (over half offering gasoline) located in Pennsylvania, New Jersey, Delaware, Maryland, Virginia, Florida and Washington D.C. Today, Wawa is your all day, every day stop for fresh, built-to-order foods, beverages, coffee, fuel services, and surcharge-free ATMs.",https://media.licdn.com/dms/image/C4E0BAQGp3sJwm9KCaA/company-logo_100_100/0/1625143333243/wawa_inc__logo?e=2147483647&v=beta&t=z-zXytF3v3DhjulfZqZ2xG2oBOllj4g5qXCdkbRW2QA