industry,website,title,logo,description
Technology and Electronics,analog.com,Analog Devices,https://media.licdn.com/dms/image/C4E0BAQFIPofjzp1AXA/company-logo_100_100/0/1639584615569/analog_devices_logo?e=2147483647&v=beta&t=ksEueUWBZEk2NzjndUKvfjG7ACF8yjMidFKgF1S2hDA,"Analog Devices, Inc. (NASDAQ: ADI) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. With revenue of more than $12 billion in FY22 and approximately 25,000 people globally working alongside 125,000 global customers, ADI ensures today’s innovators stay Ahead of What’s Possible."
Aerospace and Defense,ara.com,ARA,https://media.licdn.com/dms/image/C4D0BAQGJaMmMeoNeEg/company-logo_100_100/0/1532632016348/ara_logo?e=2147483647&v=beta&t=V9morKiZCMefaNs2bw5BZJSSh1mvgLUxj4gVstg9z5o,"Applied Research Associates, Inc. (aka ARA) is an employee-owned international research and engineering company. We have been providing technically superior solutions to complex and challenging problems in the physical sciences since 1979. ARA has over 2,013 employee-owners and continues to grow rapidly. Together, our offices throughout the U.S. and Canada provide a broad range of technical expertise in defense, civil, and health technologies, computer software and simulation, systems analysis, environmental technologies, and testing and measurement."
Aerospace and Defense,baesystems.com,"BAE Systems, Inc.",https://media.licdn.com/dms/image/D560BAQGs1CBbJ5vMPA/company-logo_100_100/0/1663676834127/baesystemsinc_logo?e=2147483647&v=beta&t=A-eANLAInSmmkryNWpAcu4YFQOKZM_riwcu8u69q7-8,"BAE Systems is the third largest defense contractor in the world with an exceptional, mission-focused culture. The 800+ BAE Systems employees and sub-contractors located at Hill Air Force Base, Utah are closely aligned to the United States Air Force Nuclear Weapons Center. We support the Center in sustaining the existing LGM-30 Minuteman III (MM III) weapon system. The MM III is a strategic nuclear weapon system dispersed in hardened silos to protect against attack, and connected to an underground launch control center through a system of hardened cables. Over 50 years of continuous modernization programs have resulted in new versions of the missile, expanded targeting options, and improved accuracy and survivability. These enhancements serve to keep the MM III viable as until the mid-2030s, when the system is scheduled to be replaced by the future GBSD ICBM now in development."
Aerospace and Defense,blueorigin.com,BLUE ORIGIN,https://media.licdn.com/dms/image/C510BAQG-nl05kZljeg/company-logo_100_100/0/1519856681683?e=2147483647&v=beta&t=p6jhJUfTHTdGuAQQN4Ee5n_ja-Vny2CEkolIFo_ITKs,"Blue Origin was founded with a vision of millions of people living and working in space for the benefit of Earth. Blue Origin envisions a time when people can tap into the limitless resources of space and enable the movement of damaging industries into space to preserve Earth, humanity’s blue origin. Blue Origin is working today to create that future by developing reusable launch vehicles and in-space systems that are safe, low cost, and serve the needs of all civil, commercial, and defense customers. Blue Origin’s efforts include flying astronauts to space on New Shepard, producing reusable liquid rocket engines, developing an orbital launch vehicle with New Glenn, building next-generation space habitats, and returning to the surface of the Moon."
Manufacturing,bldr.com,Builders FirstSource,https://media.licdn.com/dms/image/C4D0BAQFki0D5Ro4yKQ/company-logo_100_100/0/1633084118011/builders_firstsource_logo?e=2147483647&v=beta&t=PcEfwa9Gu9nVQaf0_DNiWXg3HBxiX3Ypna9hWiEZ1Lc,"Builders FirstSource is the nation’s largest supplier of structural building products, value-added components and services to the professional market for new residential construction and repair and remodeling. Our focus is on providing unparalleled service to both large and small customers. Through investments in innovation and an unmatched portfolio of value-added products and manufacturing capabilities, we’re revolutionizing the homebuilding industry – outperforming today and transforming tomorrow. "
Public Sector,mysanibel.com,CITY OF SANIBEL,https://media.licdn.com/dms/image/C560BAQHqR756mph1GA/company-logo_100_100/0/1615382544478/city_of_sanibel_logo?e=2147483647&v=beta&t=PaVEsJpt6vvP4xyKOvgrmnl1EhNtv0qdu2LvVYbVp38,"Serves under the supervision of the Deputy of Public Works, responsible for technical engineering work for Engineering and Public Works projects."
Aerospace and Defense,collinsaerospace.com,Collins Aerospace,https://media.licdn.com/dms/image/D560BAQGOO3rPemY70w/company-logo_100_100/0/1687169227119?e=2147483647&v=beta&t=8rSYNBBKVWqZsQlQE95NgNHUW_2A2pTsvvfsoJvUSUE,"Collins Aerospace is an RTX business. Our global team dreams, designs and delivers smarter, more connected solutions for passenger safety and comfort, mission success, space exploration, and operational efficiency and sustainability. "
Automotive,continental.com,Continental,https://media.licdn.com/dms/image/C560BAQFYrK_MuDgrbg/company-logo_100_100/0/1519855980055?e=2147483647&v=beta&t=uDnXOlBxbY-PPmpMb2GfDnxFS2H0kYZjsXpT7-D4hD0,"Continental develops pioneering technologies and services for sustainable and connected mobility of people and their goods. Founded in 1871, the technology company offers safe, efficient, intelligent, and affordable solutions for vehicles, machines, traffic, and transportation. In 2022, Continental generated sales of €39.4 billion and currently employs around 200,000 people in 57 countries and markets."
Manufacturing,daktronics.com,Daktronics,https://media.licdn.com/dms/image/C4E0BAQFT_esfkuE74w/company-logo_100_100/0/1562856028696/daktronics_logo?e=2147483647&v=beta&t=eybcEgnuABQnl3yv-kH4M_mjNl58tGCec0sfosF76LM,"When you work at Daktronics, you’ll be part of something amazing. We design, engineer, manufacture and support bold, eye-catching digital LED and LCD video displays and audio systems.Our products bring excitement to professional, college and high school games. They attract customers for businesses around the world, and even provide direction for people as they travel, work and play."
Technology and Electronics,dell.com,Dell Technologies,,"Dell Technologies Inc. is an American multinational technology company headquartered in Round Rock, Texas. It was formed as a result of the September 2016 merger of Dell and EMC Corporation (which later became Dell EMC). Dell's products include personal computers, servers, televisions, computer software, computer security and network security, as well as information security services."
"Entertainment and Media, Technology and Electronics",dolby.com,Dolby Laboratories,https://media.licdn.com/dms/image/C560BAQGymqFAuFFG6g/company-logo_100_100/0/1574619291273?e=2147483647&v=beta&t=4FaqIxKsseHw_tiRwadgdRntz4oh7l8TXHJbgJvzca8,"Founded in 1965 and headquartered in San Francisco, Dolby has grown into a leading global innovator and developer of audio, imaging and voice technologies for cinema, home theaters, PCs, mobile phones, and games. Our products include Dolby Digital Plus, TrueHD, Dolby Voice, Dolby Atmos and Dolby Vision. Today, over 2,000 individuals around the globe share their talents and energy to enable the most immersive experiences that technology can deliver."
Aerospace and Defense,careers.dynetics.com,"Dynetics, Inc.",https://media.licdn.com/dms/image/C560BAQHjoMS1FU87Fg/company-logo_100_100/0/1584045405065/dynetics_inc__logo?e=2147483647&v=beta&t=ywFhZEJ4ygqNQwKE4wqMnaMxU_ecCVGwbx86D-aPEi4,"Dynetics, a wholly owned subsidiary of Leidos, provides responsive, cost-effective engineering, scientific, IT solutions to the national security, cybersecurity, space, and critical infrastructure sectors. Our portfolio features highly specialized technical services and a range of software and hardware products, including components, subsystems, and complex end-to-end systems."
Healthcare and Pharmaceuticals,elevancehealth.com,Elevance Health,https://media.licdn.com/dms/image/C560BAQHUCH2Q9_rJ2A/company-logo_100_100/0/1656408544351/elevance_health_logo?e=2147483647&v=beta&t=YG5G-QKjeHCHnX8OLc7OdZJGab0tdtiPqaPw42rVFCg,"Elevance Health is a health company dedicated to improving lives and communities - and making healthcare simpler. A Fortune 20 company with a longstanding history in the healthcare industry, we are looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve."
Healthcare and Pharmaceuticals,gehealthcare.com,GE HealthCare,https://media.licdn.com/dms/image/D4E0BAQGsvnH_VaICpQ/company-logo_100_100/0/1695806357129/gehealthcare_logo?e=2147483647&v=beta&t=c-Gk-wube18eXiFAcl5qIvyLreBqO5TywDmIXPrJgYA,"At GE HealthCare, we see possibilities through innovation. We’re partnering with our customers to fulfill healthcare’s greatest potential through groundbreaking medical technology, intelligent devices, and care solutions. Better tools enabling better patient care. Together, we are not only building a healthier future but living our purpose to create a world where healthcare has no limits."
Aerospace and Defense,gdmissionsystems.com,General Dynamics Mission Systems,https://media.licdn.com/dms/image/D560BAQHmOhIFDHw7cw/company-logo_100_100/0/1666214489489/gdms_logo?e=2147483647&v=beta&t=cE4mK5uPTJjGnkvS4z8vq2U02RtO1OOLt5pRHE96-is,"At General Dynamics Mission Systems, a business unit of General Dynamics, we develop mission critical C4ISR solutions across the land, sea, air, space and cyber domains, but that doesn’t tell our whole story. When downed pilots are isolated in enemy territory, our equipment gives them a lifeline to call home. When a student opens a textbook to learn about the universe, they’re looking at data and pictures sent using our technology. When the government needs to share crucial top-secret information, our products help them keep this information out of the wrong hands. When sailors need to locate underwater mines, our technology allows them to find explosives with unmanned underwater vehicles."
"Automotive, Energy and Utilities",gm.com,General Motors,https://media.licdn.com/dms/image/C4D0BAQGi5bqIMQIO6g/company-logo_100_100/0/1644857988375/general_motors_logo?e=2147483647&v=beta&t=8XX1PlCnGBCGwyJgb5NHne20eTwNbfG7zrQcDsvcU0k,"General Motors’ vision is to create a world with Zero Crashes, Zero Emissions and Zero Congestion, and we have committed ourselves to leading the way toward this future. Today, we are in the midst of a transportation revolution, and we have the ambition, the talent and the technology to realize the safer, better and more sustainable world we want."
Technology and Electronics,hp.com,HP,https://media.licdn.com/dms/image/D560BAQEZ6ZVjZmwiwA/company-logo_100_100/0/1692312131153?e=2147483647&v=beta&t=Xtr66KA3yDcEqY2IA6yE-kiFpyBLd_kN7qHR_Ba88BE,"Innovation is in HP’s DNA. From our origins in a Palo Alto garage in 1939, to our current position as one of the world’s leading technology companies, HP has grown to become a leader in technology and corporate culture, inspiring innovators and entrepreneurs around the globe. HP brings together a portfolio that spans printing, personal computing, software and services to serve more than 1 billion customers in over 170 countries. We dream in over 35 languages and share one mission: to engineer experiences that amaze."
Aerospace and Defense,jrcisi.com,JRC Integrated Systems,https://media.licdn.com/dms/image/C4E0BAQEP1nA_ZasSRg/company-logo_100_100/0/1646248178252/jrc_integrated_systems_logo?e=2147483647&v=beta&t=pstOQg2X24RO6DPVgkzIoRAIhquJDHQnPUdnDyeACAU,"JRC is an award-winning workplace, acknowledged as one of Greater Washington’s Best Places to Work and recognized as a Top Workplace by The Washington Post. Headquartered in Washington, DC with international programs and operations in over 15 states, our expertise in areas such as systems engineering, digital integration, and program management, have supported some of the nation’s most important defense programs. As a small business innovator, we are leading the way in areas of robotics automation technology and cyber security for its customers."
Technology and Electronics,keysight.com,Keysight Technologies,https://media.licdn.com/dms/image/D4D0BAQE0N64B9-dx0A/company-logo_100_100/0/1688574562271/keysight_technologies_logo?e=2147483647&v=beta&t=1fovESurm_rOebnS2-sDyZtP6PkMD2QQ6_htbjGfZiE,"Keysight is on the forefront of technology innovation, delivering breakthroughs and trusted insights in electronic design, simulation, prototyping, test, manufacturing, and optimization. Our 15,000 employees create world-class solutions in communications, 5G, automotive, energy, quantum, aerospace, defense, and semiconductor markets for customers in over 100 countries."
Automotive,lucidmotors.com,Lucid Motors,https://media.licdn.com/dms/image/C560BAQH7XEcX6E4M7w/company-logo_100_100/0/1625123145715/lucidmotors_logo?e=2147483647&v=beta&t=zxW_8WsASubR7dBS1VXOMvTdNY9zC9RHnc_7P9jtzSg,"At Lucid, we set out to introduce the most captivating, luxury electric vehicles that elevate the human experience and transcend the perceived limitations of space, performance, and intelligence. Vehicles that are intuitive, liberating, and designed for the future of mobility. We plan to lead in this new era of luxury electric by returning to the fundamentals of great design – where every decision we make is in service of the individual and environment. Because when you are no longer bound by convention, you are free to define your own experience."
"Technology and Electronics, Healthcare and Pharmaceuticals",neuralink.com,Neuralink,https://media.licdn.com/dms/image/D560BAQHkVgIDDcxdwQ/company-logo_100_100/0/1685053142629/neuralink_logo?e=2147483647&v=beta&t=qWgeUWWYxfnJTN7orpNSAe08BghbWBeQuYXg9_rDVEw,"We are creating the future of brain-computer interfaces: building devices now that have the potential to help people with paralysis regain mobility and independence and invent new technologies that could expand our abilities, our community, and our world."
Aerospace and Defense,northropgrumman.com,Northrop Grumman,https://media.licdn.com/dms/image/C4E0BAQFnJf3Nn259IA/company-logo_100_100/0/1583848092771/northrop_grumman_corporation_logo?e=2147483647&v=beta&t=6ZrHU6bc6tbRwu1gBdk5oXySEsLSJd3fYlE63V2zwuQ,"We are a close-knit community of big thinkers collaborating to keep the world safe. Our passion, creativity and expertise bring next-level technology solutions to life in autonomous systems, cyber, C4ISR, strike, space, and logistics and modernization for our customers around the globe."
Automotive,paccarfinancial.com,PACCAR Financial Corp.,https://media.licdn.com/dms/image/C560BAQGxH3_UAIp6uA/company-logo_100_100/0/1658352881080/paccarfinancial_logo?e=2147483647&v=beta&t=AfgP5czH27ljN8tAxksDvmI-zVMThHBLbM9fuLoGOMI,"PACCAR is a Fortune 500 company recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt, and DAF nameplates. PACCAR designs and manufactures advanced diesel engines and also provides customized financial services, information technology, and truck parts related to its principal business."
Technology and Electronics,paloaltonetworks.com,Palo Alto Networks,https://media.licdn.com/dms/image/D560BAQG9Ylg6E2IXVg/company-logo_100_100/0/1688752365428?e=2147483647&v=beta&t=T8bdO8VsaiHBniMA4CayccvFCmxedPEpQeDe4WsaL7k,"At Palo Alto Networks® everything starts and ends with our mission: Being the cybersecurity partner of choice, protecting our digital way of life. Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are."
Aerospace and Defense,prattwhitney.com,Pratt & Whitney,https://media.licdn.com/dms/image/D4E0BAQEtg2PpCDdBoA/company-logo_100_100/0/1687872729500/pratt__whitney_logo?e=2147483647&v=beta&t=CrJBPBbkBitfxRLcuZIMHpf0sHqOHM-fEAuVVNVd_eA,"Pratt & Whitney, an RTX business, is a global leader in propulsion systems, powering the most advanced aircraft in the world, and we are shaping the future of aviation. Our engines help connect people, grow economies and defend freedom. Our customers depend on us to get where they’re going and back again."
Technology and Electronics,sas.com,SAS,https://media.licdn.com/dms/image/D560BAQHu3Z1_fnjd0A/company-logo_100_100/0/1688730933796/sas_logo?e=2147483647&v=beta&t=URnA5TjU7Ch0-o27HrDozHuKj-GKp0Qmo32kf0GsOTg,"Get more done with faster, more productive AI and analytics from the most trusted analytics partner on the planet. Produce answers as fast as the world produces data with SAS. With over forty years of analytics innovation, SAS has been giving customers around the world THE POWER TO KNOW®."
Energy and Utilities,savannahrivernuclearsolutions.com,Savannah River Nuclear Solutions,https://media.licdn.com/dms/image/C560BAQHIqTeRpwkNgQ/company-logo_100_100/0/1679428619742?e=2147483647&v=beta&t=hsrKCxKP6xWFILN9-E0fZ56MzaR3K8fmXOgjGWTG3ko,"As the Savannah River Site’s management and operations contractor since 2008, Savannah River Nuclear Solutions (SRNS) makes the world safer. With safety and security in the forefront, SRNS develops innovative approaches to deliver on our environmental commitments and nuclear materials challenges; supplies products and services necessary to maintain the nation’s nuclear deterrent; secures nuclear materials to prevent unwanted proliferation; and transforms nuclear materials into assets and stable wasteforms."
Aerospace and Defense,sncorp.com,Sierra Nevada Corporation,https://media.licdn.com/dms/image/C510BAQHK3IkeRTPNbw/company-logo_100_100/0/1519856117372?e=2147483647&v=beta&t=s7FRzRFYpzEDB15oXwOEqHMPBC5ZJ3Z53I9EMX5kZHo,"At Sierra Nevada Corporation (SNC) we deliver customer-focused technology and best-of-breed integrations in the aerospace and defense sectors. SNC has been honored as one of the most innovative U.S. companies in space, a Tier One Superior Supplier for the U.S. Air Force, and as one of America’s fastest-growing companies."
Manufacturing,skyworksinc.com,"Skyworks Solutions, Inc.",https://media.licdn.com/dms/image/C560BAQExuWSH_ZbWVA/company-logo_100_100/0/1636053998711/skyworks_solutions_inc_logo?e=2147483647&v=beta&t=O6OKRYPoxX_SVQKhj4iMNt5kgLXP-YBuSEWefjdAi-8,"Skyworks Solutions, Inc. is empowering the wireless networking revolution. Our highly innovative analog semiconductors are connecting people, places and things spanning a number of new and previously unimagined applications within the aerospace, automotive, broadband, cellular infrastructure, connected home, industrial, medical, military, smartphone, tablet and wearable markets. Skyworks is a global company with engineering, marketing, operations, sales and support facilities located throughout Asia, Europe and North America and is a member of the S&P 500® and Nasdaq-100® market indices (NASDAQ: SWKS)."
Technology and Electronics,spectrum.com,Spectrum,https://media.licdn.com/dms/image/D560BAQFhE3TXogKD-A/company-logo_100_100/0/1692729251072/spectrum_logo?e=2147483647&v=beta&t=6sMjv3rPUQm8v-rqXPddgJ_ITaNl-KBFUbMevClmKN4,"Spectrum is the nation’s fastest-growing mobile provider and leading internet provider. Our tech teams create, develop, and operate leading connectivity products serving nearly 100 million users and 500 million devices. We connect people to what’s next."
Consulting,istellarpro.com,Stellar Professionals,https://media.licdn.com/dms/image/C4E0BAQGveZ81BUBqcg/company-logo_100_100/0/1607348675025/stellar_professionals_logo?e=2147483647&v=beta&t=GXz-R1tBK8iLNIvouUIIHiiPQf2QbDjBKZ41tjEhGQw,"A team of eminent, distinguished and veteran professionals in the field of Talent Acquisition and Recruitment Consulting; scrutinize into every minor detail of the client’s requirement, while providing best solutions in strategic market networking, client acquisition and client servicing. iStellarPro's expertise includes GSA schedules,applications, and modifications; SBA program participation and compliance; proposal development (all proposal types); proposal writing/management."
Aerospace and Defense,textron.com,Textron,https://media.licdn.com/dms/image/D4E0BAQFu4gs8Wtvy7g/company-logo_100_100/0/1683632329725/textron_logo?e=2147483647&v=beta&t=9gIoVkDvcKyUn3dC3ry6ep9CsdITMG9CiZYQBxXiTQo,"We are Textron Systems, best known for innovative defense technologies and services. We are a part of Textron Inc, one of the world’s leading multi-industry companies, recognized for its powerful brands such as Bell, Cessna, Beechcraft, E-Z-GO, Arctic Cat and many more. Our company leverages its global network of aircraft, defense, industrial and finance businesses to provide customers with innovative products and services. But our business is all about people – the customers who rely on us and the exceptional team that brings our mission to life. We've been in the industry for more than 50 years and embraced the unique capabilities that come with being a mid-sized player. We bring the agility of a small business to meet our customers' most urgent requirements and empower our team members to push past possible. We can scale quickly to solve the big problems, working across functions, sites, and business lines to make it happen. We’re comprised of 7 domains specializing in Air, Sea, Land, Weapons Systems, Electronic Systems, Propulsion, and Testing and Training Simulations."
Aerospace and Defense,aerospace.org,The Aerospace Corporation,https://media.licdn.com/dms/image/C560BAQF0iyB3ezgjpw/company-logo_100_100/0/1519903445291?e=2147483647&v=beta&t=_LJ_HWBANwHCPYHCjLnY-TberWQuie3xgpSIOFNc8wo,"The Aerospace Corporation is the trusted partner to the nation’s space programs, solving the hardest problems and providing unmatched technical expertise. As the operator of a federally funded research and development center (FFRDC), we are broadly engaged across all aspects of space— delivering innovative solutions that span satellite, launch, ground, and cyber systems for defense, civil and commercial customers. When you join our team, you’ll be part of a special collection of problem solvers, thought leaders, and innovators. Join us and take your place in space."
Consumer Goods,tjx.com/,"The TJX Companies, Inc.",https://media.licdn.com/dms/image/C510BAQE7SDGvdGLlaw/company-logo_100_100/0/1519828643942?e=2147483647&v=beta&t=sH9rHqxHaLBLjj4itVs5cj0aUXBXESZI4ks4cNojU_k,"Discovery is at the heart of everything we do. Wherever you find us around the world, if you can think of a product, you can probably find it in our stores, which include TJ Maxx, Marshalls, HomeGoods, Sierra, Winners, Homesense, and TK Maxx. With variety comes plenty of happy surprises - our environment is ever-changing, and that’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. Ready to Discover Different?"
Manufacturing,thetorocompany.com,The Toro Company,https://media.licdn.com/dms/image/C560BAQFq3vOeLNal8w/company-logo_100_100/0/1646204219935/jobs_for_humanity_global_logo?e=2147483647&v=beta&t=4N_SObZZcbiNxgkDBfAWDSSrcAt0RTkU7d-NLH7_2xY,"The Toro Company has been delivering outstanding customer care and innovative products for over 100 years. With headquarters in Bloomington, Minnesota, USA, we have over 11,000 employees worldwide. Our company designs and manufactures a wide range of products including turf maintenance equipment, landscape and lighting products, agricultural irrigation systems, and residential turf and snow equipment. We sell our products worldwide through various channels including distributors, dealers, mass retailers, and online."
Technology and Electronics,trimble.com,Trimble Inc.,https://media.licdn.com/dms/image/C4E0BAQFZdZakSqv4xA/company-logo_100_100/0/1627320735620/trimble_logo?e=2147483647&v=beta&t=mXeF2M1A19EF2XNv3oU8G0zbRkNmCS3cpLf13I93C68,"Dedicated to the world’s tomorrow, Trimble is a technology company delivering solutions that enable our customers to work in new ways to measure, build, grow and move goods for a better quality of life. Core technologies in positioning, modeling, connectivity and data analytics connect the digital and physical worlds to improve productivity, quality, safety, transparency and sustainability. From purpose-built products and enterprise lifecycle solutions to industry cloud services, Trimble is transforming critical industries such as construction, geospatial, agriculture and transportation to power an interconnected world of work."
Consulting,ul.com,UL Solutions,https://media.licdn.com/dms/image/C560BAQF6aPtfKvMrgQ/company-logo_100_100/0/1656335536887/ul__logo?e=2147483647&v=beta&t=ZWfve7rq1PBbFO71M7oGhyxsoPdwO-gqiuPJZrVhsBU,"Thousands of us around the world wake up every day with a common purpose to make the world a safer, more secure and sustainable place. Science is in our DNA; we are endlessly curious and passionate about seeking and speaking the truth. We take delight in knowing that our work makes a meaningful contribution to society, and we are proud that our culture is centered on integrity, collaboration, inclusion and excellence. UL stands at the forefront of technological advancement, and we are continually challenged to find new ways to foster innovation and positive change. Satisfying? Yes. Exciting? Absolutely!"
Manufacturing,uline.com,Uline,https://media.licdn.com/dms/image/C560BAQHcp9eXlTumDQ/company-logo_100_100/0/1671561786348?e=2147483647&v=beta&t=4jsp-R_ele0bzSPP6Ztju2b-IU2vFEZxpX40eLdLE3M,"Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 locations, it's time you joined Uline."
Consulting,unanet.com,Unanet,https://media.licdn.com/dms/image/C4E0BAQH5g2pmnTpS_w/company-logo_100_100/0/1585855141946/unanet_technologies_logo?e=2147483647&v=beta&t=E07lfHQdjpHkXAQKmyF2L3jvLjadAfzBz-GQMwjyE9Q,"Unanet is a leading provider of Enterprise Resource Planning (ERP) and Customer Relationship Management (CRM) solutions purpose-built for the Architecture, Engineering & Construction (AEC) as well as Government Contracting industries. More than 3,700 project-driven organizations depend on Unanet to turn their information into actionable insights, drive better decision-making, and accelerate business growth, supported by a team invested in the success of our customers' projects, people, and financials."
Manufacturing,vermeer.com,Vermeer Corporation,https://media.licdn.com/dms/image/C4E0BAQHwGr0KfG8Bdg/company-logo_100_100/0/1601655224136?e=2147483647&v=beta&t=P3h-cMQc1Rl3BU1P_2FhvbNVetsBrfwxEGLO0_ceISs,"Vermeer equips customers doing important work around the world. We are global, driven by innovation and growing. The equipment we make manages natural resources, connects people and feeds and fuels communities. We live out a caring culture, we demonstrate agility, we keep a focus on customers and are stewards of our resources. These beliefs drive our culture, determine how we treat others and steer our business."
Finance,westfieldinsurance.com,Westfield,https://media.licdn.com/dms/image/C560BAQGNKCm_YMDXFQ/company-logo_100_100/0/1555436072724/westfield1848_logo?e=2147483647&v=beta&t=-QedVfN8pzf4XkfBtd2xKSGFgtpo5pyOtkfkgFYfokQ,"You’re ready to make your mark where people care about each other. Where your work is meaningful. And where your unique perspectives are welcome. Think about joining Westfield, a company focused on what’s most important – the people behind our policies. Westfield was founded in 1848 by a small group of hard-working farmers who believed in the promise of the future and the power of the individual. Today, as one of the nation’s leading property and casualty (P&C) companies, we remain true to their vision and are dedicated to making a positive difference in our customers’ lives."
Technology and Electronics,yeoandyeo-consulting.com,Yeo & Yeo Technology,https://media.licdn.com/dms/image/C560BAQGdnp3qs45ZcQ/company-logo_100_100/0/1672758710098/yeo__yeo_pc_logo?e=2147483647&v=beta&t=K-0z8SyvCawULSLnM7p50at8CczGP73i0y4YL0vv58I,"We are Michigan’s premier IT solution provider, offering full-service systems integration and delivering knowledge based technology solutions since 1984. We have three decades of experience helping our clients increase efficiency and profitability by managing computer systems rather than reacting to them. Our people are our future – we provide the venue for individuals who have the desire and drive to grow as leaders in the IT industry. Career paths are not do-it-yourself at Yeo & Yeo. You will be equipped with career development and advocacy experiences, career ladder choices, support in advancing to leadership positions, and a successful integration of your personal and professional life."